Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6
1707001200.0 2018.3 366 0 148 221 NA NA 884 0 200 303 NA NA 1245 258 558 499 NA NA 1828 526 1089 784 NA NA
1707001200.0 2018.5 408 0 153 214 NA NA 887 0 212 303 NA NA 1335 268 561 515 NA NA 2449 519 946 830 NA NA
1707001200.0 2018.6 394 0 159 221 NA NA 884 0 209 313 NA NA 1405 279 572 519 NA NA 1868 456 1079 811 NA NA
1707001200.0 2018.7 389 0 154 216 NA NA 884 0 207 302 NA NA 1352 274 565 522 NA NA 2601 544 891 969 NA NA
1707001200.0 203.0 NA 215 362 0 NA NA NA 609 677 0 NA NA NA 819 2370 516 NA NA NA 833 2895 942 NA NA
1707001200.0 20434.0 128 348 415 0 NA NA 172 466 710 0 NA NA 6120 2489 2547 638 NA NA 2820 1861 2607 794 NA NA
1707001200.0 21234.0 119 326 412 0 NA NA 160 431 660 0 NA NA 6000 2382 2455 631 NA NA 3229 2266 2879 805 NA NA
1707001200.0 22434.0 126 328 418 0 NA NA 166 469 672 0 NA NA 6192 2728 2708 652 NA NA 3125 2182 3259 914 NA NA
1707001200.0 250200.0 NA 411 457 0 NA NA NA 730 732 0 NA NA NA 11899 2942 568 NA NA NA 5041 2810 655 NA NA
1707001200.0 250202.0 NA 406 440 0 NA NA NA 771 760 0 NA NA NA 11923 3259 575 NA NA NA 4889 2877 651 NA NA
1707001200.0 250202.2 NA 393 434 0 NA NA NA 717 748 0 NA NA NA 16062 3030 589 NA NA NA 6040 3050 734 NA NA
1707001200.0 250202.4 NA 397 466 0 NA NA NA 717 666 0 NA NA NA 16753 3177 603 NA NA NA 6156 2965 901 NA NA
1707001200.0 250203.0 NA 395 435 0 NA NA NA 731 686 0 NA NA NA 12156 2983 574 NA NA NA 4950 3111 849 NA NA
1707001200.0 250204.0 NA 394 455 0 NA NA NA 717 726 0 NA NA NA 12172 2864 593 NA NA NA 4849 2949 802 NA NA
1707001200.0 250204.17 NA 446 487 0 NA NA NA 835 793 0 NA NA NA 14614 3636 962 NA NA NA 5757 3900 1168 NA NA
1707001200.0 250205.17 NA 449 497 0 NA NA NA 834 867 0 NA NA NA 15355 3216 936 NA NA NA 5743 3197 1047 NA NA
