Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1707084000.0 139902.0 NA 238 419 0 NA NA NA NA NA 318 572 0 NA NA NA NA NA 351 1574 357 NA NA NA NA NA 472 1877 434 NA NA NA NA
1707084000.0 140.0 151 184 263 0 NA NA NA NA 242 257 391 0 NA NA NA NA 1624 240 682 220 NA NA NA NA 1921 600 1010 403 NA NA NA NA
1707084000.0 140.001 NA 191 488 0 NA NA NA NA NA 266 669 0 NA NA NA NA NA 288 2057 305 NA NA NA NA NA 489 2157 520 NA NA NA NA
1707084000.0 140.003 NA 191 502 0 NA NA NA NA NA 278 693 0 NA NA NA NA NA 289 1941 314 NA NA NA NA NA 372 1856 575 NA NA NA NA
1707084000.0 140.005 NA 194 493 0 NA NA NA NA NA 279 693 0 NA NA NA NA NA 285 2158 317 NA NA NA NA NA 290 2178 597 NA NA NA NA
1707084000.0 140.008 NA 172 479 0 NA NA NA NA NA 249 677 0 NA NA NA NA NA 155 2114 483 NA NA NA NA NA 279 2681 615 NA NA NA NA
1707084000.0 140.062 NA 188 585 0 NA NA NA NA NA 259 821 0 NA NA NA NA NA 570 12725 321 NA NA NA NA NA 441 4753 540 NA NA NA NA
1707084000.0 140.067 NA 186 574 0 NA NA NA NA NA 257 807 0 NA NA NA NA NA 525 13397 318 NA NA NA NA NA 454 5043 479 NA NA NA NA
1707084000.0 140.108 NA 188 578 0 NA NA NA NA NA 269 870 0 NA NA NA NA NA 564 12599 304 NA NA NA NA NA 441 4640 351 NA NA NA NA
1707084000.0 140.202 NA 262 NA NA NA NA NA NA NA 373 NA NA NA NA NA NA NA 2047 NA NA NA NA NA NA NA 1749 NA NA NA NA NA NA
1707084000.0 144.6 NA 372 NA NA NA NA NA NA NA 518 NA NA NA NA NA NA NA 2505 NA NA NA NA NA NA NA 3003 NA NA NA NA NA NA
1707084000.0 145.0 150 186 263 0 NA NA NA NA 235 263 390 0 NA NA NA NA 1546 247 683 219 NA NA NA NA 1804 678 1000 404 NA NA NA NA
1707084000.0 149.0 141 266 462 0 NA NA NA NA 221 351 667 0 NA NA NA NA 898 839 1459 410 NA NA NA NA 1054 840 2074 545 NA NA NA NA
1707084000.0 158.1 NA 273 497 0 NA NA NA NA NA 368 680 0 NA NA NA NA NA 390 1474 454 NA NA NA NA NA 680 1825 645 NA NA NA NA
1707084000.0 158.2 NA 269 493 0 NA NA NA NA NA 368 670 0 NA NA NA NA NA 378 1420 442 NA NA NA NA NA 889 1664 674 NA NA NA NA
1707084000.0 158.3 NA 270 494 0 NA NA NA NA NA 357 676 0 NA NA NA NA NA 386 1448 448 NA NA NA NA NA 644 1903 591 NA NA NA NA
1707084000.0 160.02 144 224 118 457 118 0 NA NA 220 315 166 647 183 0 NA NA 1417 303 142 1147 223 412 NA NA 1822 373 296 1636 392 678 NA NA
1707084000.0 160.1 151 287 458 0 NA NA NA NA 233 381 676 0 NA NA NA NA 1849 623 1250 416 NA NA NA NA 1311 331 1180 500 NA NA NA NA
1707084000.0 160.2 149 279 456 0 NA NA NA NA 229 375 665 0 NA NA NA NA 1487 620 1224 410 NA NA NA NA 1199 393 1174 485 NA NA NA NA
1707084000.0 160.3 150 281 484 0 NA NA NA NA 225 387 672 0 NA NA NA NA 1309 605 1252 429 NA NA NA NA 1137 378 1434 759 NA NA NA NA
1707084000.0 2017.1 492 0 202 167 NA NA NA NA 623 0 281 256 NA NA NA NA 911 262 593 411 NA NA NA NA 1303 408 762 578 NA NA NA NA
1707084000.0 2017.11 498 0 206 168 NA NA NA NA 657 0 290 252 NA NA NA NA 1067 275 697 403 NA NA NA NA 1633 431 795 658 NA NA NA NA
1707084000.0 2018.11 496 0 202 172 NA NA NA NA 639 0 296 254 NA NA NA NA 1079 268 707 419 NA NA NA NA 1635 375 778 577 NA NA NA NA
1707084000.0 2018.2 417 0 192 165 NA NA NA NA 538 0 273 251 NA NA NA NA 805 243 561 382 NA NA NA NA 1171 437 772 522 NA NA NA NA
1707084000.0 2018.6 489 0 198 169 NA NA NA NA 659 0 272 257 NA NA NA NA 937 277 586 408 NA NA NA NA 1583 670 727 686 NA NA NA NA
1707084000.0 2018.9 489 0 198 166 NA NA NA NA 621 0 282 255 NA NA NA NA 839 249 561 393 NA NA NA NA 1107 335 769 612 NA NA NA NA
1707084000.0 204.0 169 249 435 0 NA NA NA NA 278 346 607 0 NA NA NA NA 1674 527 1853 374 NA NA NA NA 2848 825 2385 566 NA NA NA NA
1707084000.0 24834.911 181 592 546 0 168 NA NA NA 272 792 726 0 299 NA NA NA 9310 5687 5943 1618 761 NA NA NA 4660 3690 3955 1838 1301 NA NA NA
1707084000.0 24896.0 NA 593 518 0 211 NA NA NA NA 748 661 0 299 NA NA NA NA 1500 1885 464 635 NA NA NA NA 1885 2397 687 1045 NA NA NA
1707084000.0 2500.012 NA 258 0 NA NA NA NA NA NA 366 0 NA NA NA NA NA NA 13821 152 NA NA NA NA NA NA 5826 384 NA NA NA NA NA
1707084000.0 2500.1 NA 216 0 NA NA NA NA NA NA 343 0 NA NA NA NA NA NA 20368 160 NA NA NA NA NA NA 7211 410 NA NA NA NA NA
1707084000.0 2500.31 NA 251 0 NA NA NA NA NA NA 418 0 NA NA NA NA NA NA 5804 151 NA NA NA NA NA NA 5693 338 NA NA NA NA NA
1707084000.0 250204.17 NA 513 578 0 NA NA NA NA NA 706 806 0 NA NA NA NA NA 6542 2389 462 NA NA NA NA NA 2298 1853 749 NA NA NA NA
1707084000.0 250205.17 NA 515 576 0 NA NA NA NA NA 712 801 0 NA NA NA NA NA 6407 2375 442 NA NA NA NA NA 2190 2123 563 NA NA NA NA
