Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1707001200.0 136.735 NA 180 256 0 NA NA NA NA NA 207 279 0 NA NA NA NA NA 755 1543 592 NA NA NA NA NA 908 1623 608 NA NA NA NA
1707001200.0 1360.0 91 183 288 0 NA NA NA NA 156 221 321 0 NA NA NA NA 2874 400 1024 1297 NA NA NA NA 4195 450 1096 1319 NA NA NA NA
1707001200.0 1361.0 87 193 283 0 NA NA NA NA 156 217 310 0 NA NA NA NA 2574 427 997 1326 NA NA NA NA 3850 473 1071 1354 NA NA NA NA
1707001200.0 1362.0 86 192 283 0 NA NA NA NA 156 213 311 0 NA NA NA NA 2587 394 949 1270 NA NA NA NA 4353 444 1024 1290 NA NA NA NA
1707001200.0 1363.0 88 193 284 0 NA NA NA NA 156 217 314 0 NA NA NA NA 3650 434 1033 1283 NA NA NA NA 5484 471 1125 1302 NA NA NA NA
1707001200.0 139901.0 NA 191 281 0 NA NA NA NA NA 220 312 0 NA NA NA NA NA 441 969 1303 NA NA NA NA NA 504 1054 1327 NA NA NA NA
1707001200.0 139902.0 NA 192 284 0 NA NA NA NA NA 225 314 0 NA NA NA NA NA 522 1081 1351 NA NA NA NA NA 610 1204 1377 NA NA NA NA
1707001200.0 13992501.0 NA 228 347 0 NA NA NA NA NA 280 404 0 NA NA NA NA NA 2289 3392 1336 NA NA NA NA NA 2777 3793 1358 NA NA NA NA
1707001200.0 13992502.0 NA 235 353 0 NA NA NA NA NA 275 412 0 NA NA NA NA NA 2331 3101 1316 NA NA NA NA NA 2833 3468 1337 NA NA NA NA
1707001200.0 14.0 NA 105 227 0 NA NA NA NA NA 146 254 0 NA NA NA NA NA 1512 1296 428 NA NA NA NA NA 1544 1352 444 NA NA NA NA
1707001200.0 140.52 NA 224 214 0 NA NA NA NA NA 251 236 0 NA NA NA NA NA 1331 981 185 NA NA NA NA NA 1441 1087 198 NA NA NA NA
1707001200.0 140.53 NA 263 0 NA NA NA NA NA NA 314 0 NA NA NA NA NA NA 3348 195 NA NA NA NA NA NA 3440 223 NA NA NA NA NA
1707001200.0 145.0 NA 265 293 0 NA NA NA NA NA 304 358 0 NA NA NA NA NA 2486 2147 174 NA NA NA NA NA 2580 2233 185 NA NA NA NA
1707001200.0 15.0 NA 102 225 0 NA NA NA NA NA 146 255 0 NA NA NA NA NA 1287 624 352 NA NA NA NA NA 1314 668 368 NA NA NA NA
1707001200.0 16.0 NA 106 225 0 NA NA NA NA NA 146 254 0 NA NA NA NA NA 1379 818 355 NA NA NA NA NA 1425 867 368 NA NA NA NA
1707001200.0 17.0 NA 102 225 0 NA NA NA NA NA 146 255 0 NA NA NA NA NA 1284 680 352 NA NA NA NA NA 1307 726 366 NA NA NA NA
1707001200.0 18.0 NA 103 226 0 NA NA NA NA NA 146 255 0 NA NA NA NA NA 1260 561 344 NA NA NA NA NA 1283 604 360 NA NA NA NA
1707001200.0 19.0 NA 102 225 0 NA NA NA NA NA 146 255 0 NA NA NA NA NA 1284 597 349 NA NA NA NA NA 1310 644 366 NA NA NA NA
1707001200.0 2.0 79 100 160 NA NA NA NA NA 99 146 190 NA NA NA NA NA 4096 284 658 NA NA NA NA NA 4396 299 712 NA NA NA NA NA
1707001200.0 20.0 NA 106 226 0 NA NA NA NA NA 146 255 0 NA NA NA NA NA 1334 805 378 NA NA NA NA NA 1372 856 392 NA NA NA NA
1707001200.0 200.0 NA 110 241 0 NA NA NA NA NA 146 272 0 NA NA NA NA NA 496 803 404 NA NA NA NA NA 568 889 425 NA NA NA NA
1707001200.0 202.0 NA 108 238 0 NA NA NA NA NA 147 269 0 NA NA NA NA NA 477 814 406 NA NA NA NA NA 551 904 427 NA NA NA NA
1707001200.0 203.0 NA 111 245 0 NA NA NA NA NA 147 276 0 NA NA NA NA NA 491 807 395 NA NA NA NA NA 564 905 415 NA NA NA NA
1707001200.0 204.0 76 114 242 0 NA NA NA NA 97 151 273 0 NA NA NA NA 2735 556 877 410 NA NA NA NA 2781 631 993 429 NA NA NA NA
